sut,correct,wrong,score_10,weighted_score_10,score
duckdbauto,175,2116,0.7638585770405937,6.277136489096468,175
spreadweb,176,2115,0.7682234831951114,6.522017107292684,176
postgres,27,2264,0.1178524661719773,6.1453681359991,27
spreaddesktop,175,2116,0.7638585770405937,6.903941007231737,175
llm_hybrid_parser_gpt_5_4_clevercsv_special_prompt,2025,266,8.838934962898298,8.346080253720066,2025
mariadb,309,1982,1.3487560017459626,6.687602731353817,309
csvcommons,13,2278,0.05674378000872981,7.458749104692082,13
sqlite,374,1917,1.6324749017896116,6.914841231826948,374
rcsv,170,2121,0.7420340462680053,5.024715900605091,170
pycsv,4,2287,0.017459624618070713,1.8983864438147013,4
rhypoparsr,0,2291,0.0,0.0,0
univocity,9,2282,0.0392841553906591,5.558116049701268,9
custom_gpt_5_4,2105,186,9.188127455259712,8.362215715535362,2105
dataviz,0,2291,0.0,0.0,0
duckdbparse,197,2094,0.8598865124399825,7.363136256491181,197
clevercs,11,2280,0.04801396769969446,7.220608320024201,11
opencsv,11,2280,0.04801396769969446,7.851906060511694,11
libreoffice,373,1918,1.628109995635094,4.398636714581427,373
mysql,309,1982,1.3487560017459626,6.687602731353817,309
pandas,92,2199,0.4015713662156264,5.100234236490093,92
